OBJECTID,ZONING,SPECIAL,HOLD,BYLAWNO,DESCRIPT,LABEL,SHAPE_Length,SHAPE_Area,LASTUPDATE
132,C2,(SP-24),,1989-244,Transition Centre Commercial,C2 (SP-24) ,119.984451364785,790.358524620336,2022/04/26 14:48:42+00
133,C2,(SP-279),,2002-293,Transition Centre Commercial,C2 (SP-279) ,99.9553316704858,514.192058119491,2022/04/26 14:48:42+00
134,C2,(SP-404),,2006-201,Transition Centre Commercial,C2 (SP-404) ,151.561305633036,1461.35290243841,2022/04/26 14:48:42+00
135,C2,(SP-458),,2010-164,Transition Centre Commercial,C2 (SP-458) ,97.9711017196704,483.751017834764,2022/04/26 14:48:42+00
136,C2,(SP-459),,2010-184,Transition Centre Commercial,C2 (SP-459) ,105.767674449699,686.418333998776,2022/11/23 10:59:22+00
137,C2,(SP-618),,"1993-215; 2022-093",Transition Centre Commercial,C2 (SP-618),116.450907438917,834.969175670923,2023/03/30 13:27:12+00
138,C2,(SP-6),,1987-326,Transition Centre Commercial,C2 (SP-6) ,176.946960621704,1430.96133164868,2022/04/26 14:48:42+00
139,C2,(SP-62),,1993-206,Transition Centre Commercial,C2 (SP-62) ,182.928180561264,1933.73523840574,2022/08/02 14:55:26+00
140,C3,,,,Shopping Centre Commercial,C3,362.306661240959,7973.93316935051,2022/04/26 14:48:42+00
141,C3,,,,Shopping Centre Commercial,C3,469.99101192935,12303.8851461037,2022/04/26 14:48:42+00
142,C3,,,,Shopping Centre Commercial,C3,1029.78109170715,52706.8241672038,2022/04/26 14:48:42+00
143,C3,,,,Shopping Centre Commercial,C3,523.882376514387,15576.2233974068,2022/04/26 14:48:42+00
144,C3,,,2022-122,Shopping Centre Commercial,C3,1894.09994232262,106257.183529708,2023/02/01 10:25:27+00
145,C3,,,,Shopping Centre Commercial,C3,1007.53806517265,55186.9417703335,2022/04/26 14:48:42+00
146,C3,,,2005-056,Shopping Centre Commercial,C3,2043.23217902152,225218.753738649,2022/12/22 14:43:27+00
147,C3,(SP-14),,1988-300,Shopping Centre Commercial,C3 (SP-14) ,1134.38934173055,70951.6948504317,2025/06/12 15:05:25+00
148,C3,(SP-160),,"1999-080, 2002-053",Shopping Centre Commercial,C3 (SP-160) ,1744.93646536351,108357.383199853,2022/04/26 14:48:42+00
149,C3,(SP-161),,1999-080,Shopping Centre Commercial,C3 (SP-161) ,409.281998908201,9520.73544697297,2024/07/03 09:56:51+00
150,C3,(SP-377),(H-89),2006-184,Shopping Centre Commercial,C3 (SP-377) (H-89),555.714263587961,15406.6288548934,2022/04/26 14:48:42+00
151,C3,(SP-92),,1995-089,Shopping Centre Commercial,C3 (SP-92) ,453.439004293005,11350.0451792761,2022/04/26 14:48:42+00
152,C3,(SP-92),,1995-089,Shopping Centre Commercial,C3 (SP-92) ,1783.11915238346,149110.93467847,2022/04/26 14:48:42+00
153,C4,,,2018-025,General Commercial,C4,156.393686925829,1128.50194081013,2022/04/26 14:48:42+00
154,C4,,,2017-079,General Commercial,C4,284.350344218997,5028.41725116186,2022/04/26 14:48:42+00
155,C4,,,2017-079,General Commercial,C4,360.453326130011,6732.86522760128,2022/04/26 14:48:42+00
156,C4,,,,General Commercial,C4,905.42297055205,39278.1681731347,2022/04/26 14:48:42+00
157,C4,,,1995-106,General Commercial,C4,326.298928471094,6180.41887629355,2022/04/26 14:48:42+00
158,C4,,,,General Commercial,C4,251.339506688118,3289.44542209636,2022/04/26 14:48:42+00
159,C4,,,,General Commercial,C4,780.324605233754,27129.4420126749,2022/04/26 14:48:42+00
160,C4,,,,General Commercial,C4,1408.87650577703,60235.0767840983,2022/04/26 14:48:42+00
161,C4,,,,General Commercial,C4,1579.53377549319,75459.7361886491,2022/04/26 14:48:42+00
162,C4,,,,General Commercial,C4,1305.41799187451,51669.0195736074,2022/04/26 14:48:42+00
163,C4,,,,General Commercial,C4,1287.4756646112,104458.684840606,2022/04/26 14:48:42+00
164,MU2,(SP-651),(H-160),2023-152,Mixed Use Corridor,MU2 (SP-651)(H-160),306.18077170016,3940.6428982633,2024/03/13 10:27:28+00
165,C4,,,,General Commercial,C4,377.85204395733,7608.05948005921,2022/04/26 14:48:42+00
166,C4,,,,General Commercial,C4,882.784117375787,32212.9843417928,2022/04/26 14:48:42+00
167,C4,,,,General Commercial,C4,1019.45716369625,61178.138089785,2022/04/26 14:48:42+00
168,C4,,,,General Commercial,C4,323.210198850864,6493.39128270468,2022/04/26 14:48:42+00
169,C4,,,,General Commercial,C4,856.053307711783,40982.1007622499,2022/04/26 14:48:42+00
170,C4,,,,General Commercial,C4,261.482467026903,3013.70611785609,2022/04/26 14:48:42+00
171,C4,,,2002-218,General Commercial,C4,783.305459153702,26438.3435544755,2024/09/30 13:24:56+00
172,C4,,,,General Commercial,C4,278.552393139965,3786.06025536801,2022/04/26 14:48:42+00
173,C4,,,,General Commercial,C4,682.394932099805,26214.3442220388,2022/04/26 14:48:42+00
174,C4,,,,General Commercial,C4,2268.30566234719,138030.18667184,2024/09/30 13:26:36+00
175,C4,,,,General Commercial,C4,536.674781892055,14805.5566861375,2022/04/26 14:48:42+00
176,C4,,,,General Commercial,C4,306.245760113258,5801.24423963642,2022/04/26 14:48:42+00
177,C4,,,,General Commercial,C4,500.15340241002,12281.1112090022,2022/04/26 14:48:42+00
178,C4,,,,General Commercial,C4,530.953793679761,10037.7060282206,2023/06/27 09:13:51+00
179,C4,,,,General Commercial,C4,802.883070030861,25648.1946674521,2022/08/24 08:49:59+00
180,C4,,,,General Commercial,C4,915.697622768515,30468.8391264465,2022/04/26 14:48:42+00
181,C4,,,,General Commercial,C4,420.176549475987,9836.08488262452,2022/04/26 14:48:42+00
182,C4,,,,General Commercial,C4,839.595390285921,29001.1593899225,2025/04/11 15:51:32+00
183,C4,,,,General Commercial,C4,234.052124490243,1726.16048204318,2022/04/26 14:48:42+00
184,C4,,,,General Commercial,C4,757.610796656413,19373.4775748746,2022/04/26 14:48:42+00
185,C4,,,,General Commercial,C4,686.44306575522,18672.529459635,2022/04/26 14:48:42+00
186,C4,,,,General Commercial,C4,669.283187550093,17625.7363499713,2022/04/26 14:48:42+00
187,C4,,,,General Commercial,C4,345.164723293579,6961.40349391345,2022/04/26 14:48:42+00
188,C4,,,,General Commercial,C4,563.363613302005,12205.0962623372,2022/04/26 14:48:42+00
189,C4,,,,General Commercial,C4,249.097374503832,4098.28894468253,2022/04/26 14:48:42+00
190,C4,,,,General Commercial,C4,289.622708769743,3607.97965185753,2022/04/26 14:48:42+00
191,C4,,,,General Commercial,C4,478.998481681816,8217.39862017165,2022/04/26 14:48:42+00
192,C4,,,,General Commercial,C4,183.697303884496,2076.92205809542,2022/04/26 14:48:42+00
193,C4,,,2004-202,General Commercial,C4,322.672232846515,6434.65501769991,2022/04/26 14:48:42+00
194,C4,,,,General Commercial,C4,351.889263543919,7988.88400498495,2022/04/26 14:48:42+00
195,C4,,,,General Commercial,C4,338.043042558323,7042.82203888167,2022/04/26 14:48:42+00
196,C4,,,,General Commercial,C4,296.861935512056,5363.8206174317,2022/04/26 14:48:42+00
197,C4,,,,General Commercial,C4,293.140897279741,4921.21955648482,2022/04/26 14:48:42+00
198,C4,,,,General Commercial,C4,213.859753833553,2466.6168991888,2022/04/26 14:48:42+00
199,C4,,,,General Commercial,C4,2330.53464810767,80911.2601970033,2022/04/26 14:48:42+00
